DOMAINS,REQUEST,BLOCK,IMPRESSION,VIEWABLE,MEASURED,CLICKS,INCIDENTS,COMPLETES
abcnews.go.com,15,7,,,,,,
imasdk.googleapis.com,2,0,,,,,,
ib.adnxs.com,275,2,,,,,,
webmaila.juno.com,23,2,,,,,,
webmailab.juno.com,1,0,,,,,,
nytimes.com,2,2,,,,,,
editorial.rottentomatoes.com,55,1,,,,,,
rottentomatoes.com,14,0,,,,,,
mail.comcast.net,240,11,,,,,,
diethood.com,1,0,,,,,,
obits.mlive.com,3,1,,,,,,
mashable.com,19,8,,,,,,
chess.com,393,8,,,,,,
runescape.wikia.com,8,0,,,,,,
apps.facebook.com,15,0,,,,,,
twistity.com,1364,5,,,,,,
economictimes.indiatimes.com,762,47,,,,,,
indiatimes.com,1,1,,,,,,
mail.lycos.com,32,0,,,,,,
webmail.lycos.com,39,0,,,,,,
games.pch.com,4,0,,,,,,
pch.com,13,4,,,,,,
chocolatecoveredkatie.com,116,0,,,,,,
merriam-webster.com,467,11,,,,,,
gta5cheats.com,4,0,,,,,,
dogtime.com,1055,37,,,,,,
weeklystandard.com,1,0,,,,,,
profile.majorleaguegaming.com,1,1,,,,,,
gamebattles.majorleaguegaming.com,2,2,,,,,,
streamdb5web.securenetsystems.net,954,29,,,,,,
centurylink.net,25,0,,,,,,
rediff.com,1,1,,,,,,
k12reader.com,2996,61,,,,,,
tpc.googlesyndication.com,367,0,,,,,,
radio.securenetsystems.net,9988,58,,,,,,
philadelphia.cbslocal.com,2,2,,,,,,
wruf.com,1,0,,,,,,
arrowheadpride.com,4,1,,,,,,
nationalgeographic.com,1,0,,,,,,
cwtv.com,36,12,,,,,,
virginia.sportswar.com,3,2,,,,,,
stardoll.com,3,2,,,,,,
boston.cbslocal.com,3,0,,,,,,
losangeles.cbslocal.com,4,0,,,,,,
pittsburgh.cbslocal.com,3,2,,,,,,
detroit.cbslocal.com,6,5,,,,,,
newyork.cbslocal.com,2,1,,,,,,
dfw.cbslocal.com,15,7,,,,,,
my.juno.com,10,0,,,,,,
techtimes.com,2043,40,,,,,,
vt.lightspeedvt.com,17,14,,,,,,
sportschatplace.com,129,3,,,,,,
spendwithpennies.com,1,0,,,,,,
player.radioloyalty.com,50,47,,,,,,
wavy.com,9,6,,,,,,
filehippo.com,5,0,,,,,,
theguardian.com,2,2,,,,,,
self.com,1,0,,,,,,
crosswordtracker.com,207,2,,,,,,
forsalebyowner.com,53,2,,,,,,
pleated-jeans.com,1,0,,,,,,
cn.dealmoon.com,1,0,,,,,,
petplace.com,32,0,,,,,,
the-crossword-solver.com,3,0,,,,,,
mlbpark.donga.com,3,3,,,,,,
tutorvista.com,10,0,,,,,,
popsugar.com,1,1,,,,,,
moviefone.com,4,0,,,,,,
new.schoolnotes.com,6,0,,,,,,
c.peoplepc.com,5,2,,,,,,
nbc12.com,8,5,,,,,,
news.creaders.net,124,100,,,,,,
biggeekdad.com,5,3,,,,,,
en.softonic.com,19,11,,,,,,
kentuckynewera.com,3,0,,,,,,
funtrivia.com,1,0,,,,,,
chessmaniac.com,28,0,,,,,,
yardbarker.com,171,3,,,,,,
pcmag.com,2,2,,,,,,
weatherbug.com,3,1,,,,,,
daily-journal.com,1,1,,,,,,
bizjournals.com,2,1,,,,,,
driversprep.com,3,3,,,,,,
xe.com,1,1,,,,,,
gamespot.com,195,143,,,,,,
thepioneerwoman.com,390,0,,,,,,
web.stmath.com,5,5,,,,,,
typingtest.com,864,7,,,,,,
mlbtraderumors.com,5,4,,,,,,
flyfrontier.com,5,4,,,,,,
prizegrab.com,1,1,,,,,,
usatoday.com,6,4,,,,,,
minecraft-mp.com,2,2,,,,,,
lms.thinkthroughmath.com,193,150,,,,,,
operationsports.com,2,0,,,,,,
wordreference.com,804,745,,,,,,
webmail.excite.com,7,6,,,,,,
excite.com,1,0,,,,,,
losandes.com.ar,1,0,,,,,,
rvt.com,1,1,,,,,,
si.com,35,4,,,,,,
yellowblissroad.com,3,0,,,,,,
kjrh.com,60,16,,,,,,
nationalpost.com,2,0,,,,,,
terra.com.br,1,0,,,,,,
cwseed.com,5,0,,,,,,
hoofoot.com,3,3,,,,,,
mtgtop8.com,12,1,,,,,,
play.typeracer.com,9,0,,,,,,
adweek.com,1,0,,,,,,
funimation.com,28,0,,,,,,
pagesix.com,11,7,,,,,,
basketball-reference.com,2,2,,,,,,
wordunscrambler.com,4,3,,,,,,
mtv.com,1,0,,,,,,
youplay.com,30,0,,,,,,
pga.com,133,4,,,,,,
osxdaily.com,1,0,,,,,,
shooter-bubble.com,6,2,,,,,,
ng.cengage.com,4,3,,,,,,
jetpunk.com,60,0,,,,,,
kgbanswers.com,1,0,,,,,,
timesofsandiego.com,5,0,,,,,,
tennislink.usta.com,1,0,,,,,,
hudl.com,237,24,,,,,,
todaysparent.com,3,1,,,,,,
en.uptodown.com,29,0,,,,,,
siasat.com,1,0,,,,,,
appass.com,2,0,,,,,,
sweets.seriouseats.com,1,0,,,,,,
tarot.com,5,5,,,,,,
more2.starfall.com,10,10,,,,,,
highya.com,2,1,,,,,,
phenomena.nationalgeographic.com,1,0,,,,,,
liketotally80s.com,15,0,,,,,,
formulas.tutorvista.com,199,0,,,,,,
physics.tutorvista.com,42,0,,,,,,
en.akinator.com,4,3,,,,,,
dinarrecaps.com,421,2,,,,,,
gamesradar.com,2,0,,,,,,
indiatvnews.com,3,2,,,,,,
sudoku-solutions.com,36,0,,,,,,
glosbe.com,160,0,,,,,,
studyisland.com,1,1,,,,,,
weather.yahoo.com,1,0,,,,,,
gnli.christianpost.com,23,17,,,,,,
howmanysyllables.com,4,0,,,,,,
freedomnewspaper.com,60,2,,,,,,
issuein.com,18,0,,,,,,
ozarksfirst.com,8,2,,,,,,
home.brandthunder.com,1,1,,,,,,
irishcentral.com,2,2,,,,,,
wonderslist.com,1,0,,,,,,
tribuneindia.com,5,5,,,,,,
dragoart.com,15,0,,,,,,
oprah.com,5,2,,,,,,
southernhospitalityblog.com,8,0,,,,,,
math-aids.com,1947,61,,,,,,
eq2.wikia.com,39,1,,,,,,
forums.sherdog.com,1,1,,,,,,
timesofindia.indiatimes.com,1568,1105,,,,,,
ccm.net,464,0,,,,,,
listenonrepeat.com,9,0,,,,,,
elperiodicodearagon.com,1,0,,,,,,
harrypotter.wikia.com,1,1,,,,,,
azfamily.com,1,0,,,,,,
booking.flyfrontier.com,113,83,,,,,,
forum.wordreference.com,6,5,,,,,,
en.yibada.com,2,2,,,,,,
kiro7.com,27,1,,,,,,
outlook.live.com,2190,26,,,,,,
tibia.wikia.com,2,0,,,,,,
talk.collegeconfidential.com,1,1,,,,,,
weather.weatherbug.com,150,7,,,,,,
sports.yahoo.com,108,0,,,,,,
news.yahoo.com,122,3,,,,,,
blacksportsonline.com,1,1,,,,,,
suffolknewsherald.com,8,0,,,,,,
desmoinesregister.com,46,8,,,,,,
togetter.com,5,5,,,,,,
radio.ghanaweb.com,1,1,,,,,,
ubergizmo.com,6,1,,,,,,
gadgets.ndtv.com,170,4,,,,,,
sports.ndtv.com,4,2,,,,,,
static.radioloyalty.com,3,3,,,,,,
ccenterdispatch.com,1,0,,,,,,
navbharattimes.indiatimes.com,86,15,,,,,,
maharashtratimes.indiatimes.com,53,6,,,,,,
start.iminent.com,2,2,,,,,,
memedeportes.com,1,0,,,,,,
travel.usnews.com,1,1,,,,,,
decaturdaily.com,1,0,,,,,,
tides.willyweather.com,161,0,,,,,,
willyweather.com,16,0,,,,,,
timeout.com,16,0,,,,,,
riddles.com,2,0,,,,,,
aberdeennews.com,1,0,,,,,,
t3.com,3,0,,,,,,
apollo.slingbox.com,64,0,,,,,,
online-tech-tips.com,147,0,,,,,,
groups.yahoo.com,2,1,,,,,,
theaviationist.com,8,0,,,,,,
petguide.com,4,0,,,,,,
worditout.com,55,0,,,,,,
news.donga.com,1,1,,,,,,
healthstream.com,3,3,,,,,,
wf.webrootanywhere.com,2,2,,,,,,
pt.wikihow.com,10,1,,,,,,
quotes.ino.com,52,0,,,,,,
bgdailynews.com,1,1,,,,,,
wkrn.com,1,0,,,,,,
trending.womensforum.com,121,23,,,,,,
fr.wikihow.com,33,0,,,,,,
educationworld.com,2174,8,,,,,,
tampabay.rr.com,1,0,,,,,,
womansday.com,10,0,,,,,,
corner.bigblueinteractive.com,87,78,,,,,,
games.latimes.com,255,4,,,,,,
beta.meetme.com,4,0,,,,,,
draftwizard.fantasypros.com,223,0,,,,,,
home.suddenlink.net,4,3,,,,,,
stats.cleveland.com,4,0,,,,,,
jang.com.pk,1,0,,,,,,
kvia.com,4,0,,,,,,
webmail.q.com,1,0,,,,,,
cinemassacre.com,2,1,,,,,,
sports.creaders.net,29,25,,,,,,
rootsweb.ancestry.com,13,0,,,,,,
fltimes.com,1,0,,,,,,
streamdb7web.securenetsystems.net,1089,9,,,,,,
prosportsdaily.sportsdirectinc.com,9,0,,,,,,
microcenter.com,2,1,,,,,,
plan.shoprite.com,4,3,,,,,,
fallsolitaire.com,1,1,,,,,,
foodinjars.com,1,0,,,,,,
wkyc.com,8,0,,,,,,
myhockeyrankings.com,995,1,,,,,,
forums.thebump.com,1,1,,,,,,
uv.willyweather.com,35,0,,,,,,
internasional.kompas.com,1,1,,,,,,
network-tools.com,8,0,,,,,,
abc13.com,4,1,,,,,,
ultrasurfing.com,1,0,,,,,,
theweathernetwork.com,3,3,,,,,,
disney.go.com,12,12,,,,,,
regional.kompas.com,2,2,,,,,,
disneychannel.disney.com,1,1,,,,,,
student.readingeggs.com,1,1,,,,,,
www54.myfantasyleague.com,16,14,,,,,,
www53.myfantasyleague.com,2,2,,,,,,
authorweb.healthstream.com,5,4,,,,,,
hibbingmn.com,2,0,,,,,,
app.box.com,43,32,,,,,,
babynamegenie.com,1,1,,,,,,
americanmilitarynews.com,1,1,,,,,,
tellychakkar.com,8,0,,,,,,
subnet-calculator.com,26,0,,,,,,
kcsm.org,86,0,,,,,,
makeagif.com,898,6,,,,,,
easy96.com,1,0,,,,,,
pathfindertalk.com,1,0,,,,,,
schoolspring.com,43,1,,,,,,
newwatch.slingbox.com,5670,20,,,,,,
tbs.com,3,0,,,,,,
apps.availity.com,22,17,,,,,,
mrexcel.com,203,4,,,,,,
more.starfall.com,1,1,,,,,,
kotaku.com.au,6,3,,,,,,
search.ask.com,18,15,,,,,,
business.financialpost.com,4,1,,,,,,
diepkhuc.com,1281,0,,,,,,
doctoroz.com,1,1,,,,,,
rmcsport.bfmtv.com,1,1,,,,,,
clients.mindbodyonline.com,64,51,,,,,,
hedgehogcentral.com,4,0,,,,,,
fantasticfunandlearning.com,12,0,,,,,,
community.sparknotes.com,55,0,,,,,,
go.teamsnap.com,10,8,,,,,,
forex.timezoneconverter.com,89,5,,,,,,
ca.creaders.net,59,51,,,,,,
asp.tumblebooks.com,3,1,,,,,,
shop.lululemon.com,34,25,,,,,,
login.norton.com,1,1,,,,,,
support.norton.com,1,1,,,,,,
search.norton.com,7,4,,,,,,
identitysafe.norton.com,11,4,,,,,,
search.mlslistings.com,2,1,,,,,,
reviewgamezone.com,8,0,,,,,,
keyhero.com,598,384,,,,,,
ilovepdf.com,172,0,,,,,,
metronomeonline.com,38,0,,,,,,
nl.glosbe.com,24,0,,,,,,
vi.glosbe.com,1,0,,,,,,
en.glosbe.com,1,0,,,,,,
talent.payless.com,1,1,,,,,,
payless.com,8,7,,,,,,
news.mingpao.com,2,2,,,,,,
videos.postandcourier.com,1,0,,,,,,
bradfordera.com,1,0,,,,,,
app.studyisland.com,2,1,,,,,,
notizie.yahoo.com,7,0,,,,,,
nachrichten.yahoo.com,4,0,,,,,,
grandrapidsmn.com,2,0,,,,,,
designbump.com,214,25,,,,,,
fun.games.com,8,0,,,,,,
gsalr.com,1,1,,,,,,
gizmodo.com.au,97,2,,,,,,
sport.bt.com,7,1,,,,,,
coolmaterial.com,1,1,,,,,,
account.suddenlink.net,58,44,,,,,,
index.about.com,78,51,,,,,,
classmart.post-gazette.com,85,0,,,,,,
tinyurl.com,26,0,,,,,,
tuasaude.com,3,0,,,,,,
accountingexplained.com,89,0,,,,,,
heartharena.com,16,0,,,,,,
rainfall.willyweather.com.au,12,0,,,,,,
forums.thenest.com,1,0,,,,,,
certapet.com,3,0,,,,,,
jazzradio.com,25,0,,,,,,
tractordata.com,2,0,,,,,,
apps.skype.com,59,54,,,,,,
games2rule.com,24,0,,,,,,
es.soccerway.com,3,0,,,,,,
el.soccerway.com,1,0,,,,,,
vanityfair.com,2,2,,,,,,
glwiz.com,22,1,,,,,,
mvtelegraph.com,1,0,,,,,,
bigfarm.goodgamestudios.com,15,4,,,,,,
moonphases.willyweather.com,2,0,,,,,,
wind.willyweather.com,3,0,,,,,,
disneymovierewards.go.com,1,0,,,,,,
watchdisneychannel.go.com,1,1,,,,,,
homes.trovit.com,8,6,,,,,,
payments.ebay.com,16,11,,,,,,
hardwaresecrets.com,1,0,,,,,,
greenbot.com,17,1,,,,,,
le10sport.com,15,1,,,,,,
eastcarolina.sportswar.com,43,0,,,,,,
cdnres.willyweather.com.au,9,0,,,,,,
www73.myfantasyleague.com,6,6,,,,,,
www77.myfantasyleague.com,7,6,,,,,,
content.overwolf.com,32777,34,,,,,,
b.hostedemail.com,5,0,,,,,,
lol.disney.com,15,10,,,,,,
cmx.weightwatchers.com,1,0,,,,,,
www79.myfantasyleague.com,4,2,,,,,,
hastingslink.com,1,0,,,,,,
standard-journal.com,1,0,,,,,,
retail-dollargeneral.icims.com,1,1,,,,,,
companies.bizjournals.com,1,0,,,,,,
path.shareyourfreebies.com,3,3,,,,,,
motd.motdgd.com,87,0,,,,,,
interactive.wkyc.com,1,0,,,,,,
search.searchmabb.com,426,346,,,,,,
search.excite.com,7,6,,,,,,
coolimba.com,10767,125,,,,,,
games.wtop.com,38,0,,,,,,
securitycareers-aus.icims.com,1,1,,,,,,
history.creaders.net,243,207,,,,,,
videos.stylecaster.com,2,0,,,,,,
health.creaders.net,105,95,,,,,,
vplayer.techtimes.com,14,0,,,,,,
revfm.rocks,1,0,,,,,,
geniuskitchen.com,1,0,,,,,,
falsified-website.com,17293,12939,,,,,,
externals.streema.com,23,0,,,,,,
fbastream59.blogspot.com,16,0,,,,,,
us1.search-find-it.com,2,0,,,,,,
N/A,0,0,,,,,,
imasdk.googleapis.com,0,0,,,,,,
ibtimes.co.uk,0,0,,,,,,
cheezburger.com,0,0,,,,,,
comicbook.com,0,0,,,,,,
offbeat.topix.com,0,0,,,,,,
odometer.com,0,0,,,,,,
cookieandkate.com,0,0,,,,,,
allrecipes.com,0,0,,,,,,
twentytwowords.com,0,0,,,,,,
theprairiehomestead.com,0,0,,,,,,
elitedaily.com,0,0,,,,,,
maplestage.com,0,0,,,,,,
iheartnaptime.net,0,0,,,,,,
