ADS.TXT EXCHANGES,DSP EXCHANGES
adform.com,
adtech.com,
advertising.com,
aerserv.com,AerServ(BSW)
amazon-adsystem.com,
anyclip-media.com,
aol.com,ONE by AOL: Display Market Place
aol.com,ONE by AOL: Video
aol.com,ONE by AOL: Mobile
aol.com,One by AOL: Display
aol.com,Microsoft
aolcloud.net,
appnexus.com,AppNexus
beachfront.com,
btrll.com,
c.amazon-adsystem.com,
cedato.com,
contextweb.com,
coxmt.com,
districtm.io,
dynadmic.com,
dyntrk.com,
emxdgt.com,
facebook.com,
firstimpression.io,
freeskreen.com,
freewheel.tv,FreeWheel SSP
freewheel.tv,FreeWheel
fyber.com,Fyber(BSW)
google.com,DoubleClick Ad Exchange
google.com,Adx
google.com,GoogleAdX
gumgum.com,
impact-ad.jp,
improvedigital.com,Improve Digital
indexexchange.com,Index Exchange
indexexchange.com,Index
kargo.com,
lijit.com,
liveintent.com,
lkqd.com,LKQD(BSW)
lkqd.net,
media.net,
memevideoad.com,
mobfox.com,
mopub.com,MoPub
netseer.com,
netsprint.eu,
openx.com,OpenX
openx.com,OpenXRTB
optimatic.com,
outbrain.com,
pubmatic.com,PubMatic
pubmatic.com,Pubmatic
pulsepoint.com,
quantum-advertising.com,
richaudience.com,
rubiconproject.com,Rubicon
sharethrough.com,ShareThrough
sharethrough.com,Sharethrough
smaato.com,Smaato
smartadserver.com,SmartAdserver(BSW)
smartadserver.com,Smart Ad Server
smartclip.net,SmartClip
sovrn.com,Sovrn
spotx.tv,
spotxchange.com,SpotX
spotxchange.com,SpotXchange
springserve.com,
taboola.com,
teads.tv,TeadsTv
teads.tv,Teads(BSW)
tidaltv.com,
tremorhub.com,Tremor Video
tremorhub.com,Telaria
triplelift.com,TripleLift
trustx.org,
vertamedia.com,
vi.ai,
video.unrulymedia.com,Unrulyx(BSW)
widespace.com,
yahoo.com,BrightRoll Exchange for Display from Yahoo!
yahoo.com,BrightRoll Exchange for Video from Yahoo!
yahoo.com,BRXV - O&O Only
yahoo.com,BRXD
yahoo.com,Brightroll
yieldlab.net,Yieldlab
yieldmo.com,
yumenetworks.com,
